ts,queue_len
1770589770.2115197,1
1770589770.2116024,0
1770589770.2313514,0
1770589771.2102032,1
1770589771.2102618,0
1770589771.2308028,0
1770589772.214034,1
1770589772.2140884,0
1770589772.2349887,0
1770589773.2078376,1
1770589773.2078907,0
1770589773.7595804,1
1770589773.7596393,0
1770589774.0879648,1
1770589774.109415,1
1770589774.1821463,1
1770589775.2064798,2
1770589775.3155882,1
1770589775.75974,2
1770589775.779751,2
1770589776.712967,3
1770589776.7348108,3
1770589777.334376,2
1770589777.34721,1
1770589777.7514951,2
1770589778.0927052,3
1770589778.4376087,4
1770589778.8218577,3
1770589779.046638,4
1770589779.159956,3
1770589779.4131255,4
1770589779.4335725,4
1770589779.8529878,3
1770589780.2469194,4
1770589780.2680461,4
1770589780.3069334,3
1770589781.2626386,4
1770589781.8306568,5
1770589782.4029999,6
1770589782.4248629,6
1770589782.5784605,5
1770589782.6247756,4
1770589783.230663,5
1770589783.79585,4
1770589783.8425057,5
1770589784.4394207,6
1770589784.7447538,5
1770589784.7926145,6
1770589784.813222,6
1770589784.8288214,5
1770589785.7876554,6
1770589786.376362,5
1770589786.459876,6
1770589787.053832,7
1770589787.074627,7
1770589787.1803143,7
1770589787.6360683,6
1770589787.9600978,5
1770589788.2350068,6
1770589788.7921407,7
1770589789.158607,6
1770589789.3592315,7
1770589789.3799243,7
1770589790.1381452,6
1770589790.2344916,7
1770589790.810325,8
1770589790.8303137,8
1770589790.9409099,7
1770589791.7764275,8
1770589791.797362,8
1770589792.059217,7
1770589792.5148606,6
1770589792.752282,7
1770589792.7740147,7
1770589793.0523787,6
1770589793.5250468,7
1770589793.8845205,8
1770589793.9047902,8
1770589794.2658484,7
1770589794.7783327,8
1770589795.1671422,9
1770589795.1882198,9
1770589795.6810865,9
1770589795.8893366,8
1770589796.7117612,7
1770589796.764795,8
1770589796.862981,7
1770589797.0256763,6
1770589797.359693,7
1770589797.3798811,7
1770589798.2616267,8
1770589798.8630624,9
1770589798.8842914,9
1770589799.7546914,10
1770589799.9069848,9
1770589800.341068,10
1770589800.7103558,11
1770589800.731195,11
1770589801.2627761,10
1770589801.2780907,9
1770589801.708459,8
1770589801.7971144,9
1770589802.4039314,10
1770589802.959293,11
1770589803.5345356,12
1770589803.5553832,12
1770589803.570679,11
1770589803.7543335,10
1770589804.2311502,11
1770589804.7911317,10
1770589804.7945197,11
1770589805.3443651,12
1770589805.7385738,11
1770589805.975059,12
1770589806.5300708,13
1770589806.5503376,13
1770589806.6807082,13
1770589806.8739443,12
1770589807.3550937,11
1770589807.6368005,10
1770589807.7300012,11
1770589807.750332,11
1770589808.1820505,11
1770589809.2168274,12
1770589809.413142,11
1770589809.774266,12
1770589809.7949252,12
1770589809.9509578,11
1770589810.1809556,11
1770589810.8853395,10
1770589811.2174854,11
1770589811.2374082,11
1770589811.3662198,10
1770589812.2435513,11
1770589812.3342433,10
1770589812.799571,11
1770589812.8207445,11
1770589813.737435,12
1770589813.7576604,12
1770589814.0987196,11
1770589814.1807945,11
1770589814.274712,10
1770589814.63888,9
1770589815.226853,10
1770589815.8015192,11
1770589816.3963501,12
1770589816.4173195,12
1770589816.6806977,12
1770589816.808426,11
1770589817.1810937,11
1770589818.2225232,12
1770589818.2429268,12
1770589819.2305725,13
1770589819.325975,12
1770589819.4301977,11
1770589819.4713707,10
1770589819.5829313,11
1770589820.1455204,12
1770589820.695009,13
1770589821.2662966,14
1770589821.2869337,14
1770589821.5627236,13
1770589821.6813817,13
1770589822.1805856,13
1770589822.9965172,14
1770589823.017716,14
1770589823.1814358,14
1770589823.9131653,13
1770589824.1544616,12
1770589824.226394,13
1770589824.782376,14
1770589824.802462,14
1770589825.7252555,15
1770589826.289182,16
1770589826.309573,16
1770589826.572898,15
1770589826.8507698,14
1770589827.2214239,15
1770589827.2425826,15
1770589827.989815,16
1770589828.0111735,16
1770589828.1814547,16
1770589829.2187579,17
1770589829.2393055,17
1770589829.680622,17
1770589829.8732069,16
1770589829.8732467,15
1770589830.706864,16
1770589831.0313637,17
1770589831.052362,17
1770589831.719359,18
1770589831.7393222,18
1770589832.053419,17
1770589832.181272,17
1770589832.2023718,16
1770589833.2025354,17
1770589833.223767,17
1770589834.2080746,18
1770589834.2274663,18
1770589834.6561522,17
1770589835.2049382,18
1770589835.7755477,19
1770589836.1127071,20
1770589836.13382,20
1770589836.7230604,21
1770589836.7436771,21
1770589836.9392133,20
1770589837.182016,20
1770589837.6814592,20
1770589838.1822047,20
1770589838.9903455,21
1770589838.990406,20
1770589838.9904304,19
1770589839.010619,19
1770589839.0549877,18
1770589839.7363548,19
1770589839.7575893,19
1770589840.724438,20
1770589840.7453022,20
1770589840.892743,19
1770589841.7197456,20
1770589841.7399724,20
1770589842.1029692,19
1770589842.17989,19
1770589843.2153785,20
1770589843.2366421,20
1770589844.2209344,21
1770589844.3373997,20
1770589844.3463814,19
1770589844.4907455,18
1770589844.772168,19
1770589845.0966673,20
1770589845.1169221,20
1770589845.18079,20
1770589845.564893,19
1770589845.6804345,19
1770589846.1810882,19
1770589847.2139819,20
1770589847.360376,19
1770589847.763219,20
1770589847.7832675,20
1770589847.9070115,19
1770589848.0969064,18
1770589848.499498,19
1770589848.520408,19
1770589848.6803021,19
1770589849.7201447,20
1770589849.9469135,19
1770589850.2703876,20
1770589850.2922945,20
1770589850.6523116,19
1770589851.2147655,20
1770589851.235568,20
1770589851.394284,19
1770589851.680671,19
1770589851.7335489,18
1770589852.7101588,19
1770589852.7311058,19
1770589853.252743,18
1770589853.7121234,19
1770589853.9877489,18
1770589854.2594535,19
1770589854.2817056,19
1770589854.6810606,19
1770589855.293473,18
1770589855.359561,17
1770589855.7220588,18
1770589856.0637755,19
1770589856.7655745,20
1770589857.461452,21
1770589857.481808,21
1770589857.553508,20
1770589858.2237577,21
1770589858.245214,21
1770589858.8396432,20
1770589859.1254668,19
1770589859.2239823,20
1770589859.917054,21
1770589859.9375937,21
1770589859.9648137,20
1770589860.7329493,21
1770589861.201732,22
1770589861.2218304,22
1770589861.9949656,21
1770589862.241684,22
1770589862.8081987,23
1770589862.82878,23
1770589862.8659189,22
1770589863.18064,22
1770589863.6815157,22
1770589863.8621643,21
1770589864.1800926,21
1770589864.4276037,20
1770589864.6804883,20
1770589865.5185869,19
1770589865.7165096,20
1770589866.500984,21
1770589866.5204158,21
1770589866.597514,20
1770589866.6102126,19
1770589867.006867,20
1770589867.7066245,21
1770589867.7275472,21
1770589868.7316206,22
1770589868.7533474,22
1770589869.182053,22
1770589869.344047,21
1770589869.398568,20
1770589870.2333386,21
1770589870.253948,21
1770589870.6805325,21
1770589870.8227344,20
1770589870.983693,19
1770589871.1825635,19
1770589871.9212995,18
1770589872.3099446,19
1770589872.4216466,18
1770589872.8716133,19
1770589872.892378,19
1770589873.2978249,18
1770589873.7504,19
1770589874.4651108,20
1770589875.0804121,19
1770589875.1828887,20
1770589875.581694,19
1770589875.6603136,20
1770589876.339576,21
1770589876.3607357,21
1770589876.9024842,20
1770589877.2052379,21
1770589877.2264473,21
1770589877.5940645,20
1770589878.22804,21
1770589878.249435,21
1770589878.8914695,20
1770589879.3231478,21
1770589879.7840414,20
1770589879.8415463,19
1770589880.0434856,20
1770589880.0625715,20
1770589880.179891,20
1770589880.680819,20
1770589881.1518223,19
1770589881.1818972,19
1770589881.680337,19
1770589881.7045298,18
1770589882.0051198,17
1770589882.1801848,17
1770589882.6310925,16
1770589882.6813748,16
1770589883.1825736,16
1770589883.680198,16
1770589884.1804574,16
1770589884.5337753,15
1770589884.6604707,14
1770589884.6806235,14
1770589885.181101,14
1770589885.680222,14
1770589885.7596748,13
1770589886.1803706,13
1770589886.680937,13
1770589887.1475978,12
1770589887.1808147,12
1770589887.3163168,11
1770589887.6807668,11
1770589888.1819124,11
1770589888.6814752,11
1770589889.1805487,11
1770589889.4800534,10
1770589889.9217527,9
1770589890.0160825,8
